ODI;SIGLAS_AREA;ANIO;NRO_EXPEDIENTE;TIPO_EXPEDIENTE;FECHA_PRESENTACION;SECTOR;SUB_SECTOR;DENUNCIADOS;RUC_DENUNCIADOS; 
SEDE CENTRAL;PS3;2015;930;DENUNCIA;11/06/2015;EDUCACION SUPERIOR;SERVICIOS DE ENSEÑANZA;COLEGIOS PERUANOS S.A.C.;20510713363; 
SEDE CENTRAL;PS3;2015;931;DENUNCIA;11/06/2015;CONSTRUCCION E INMOBILIARIOS;CONSTRUCCION Y VENTA DE INMUEBLES;INVERSIONES INMOBILIARIAS DEL COLCA S.A.;20519163013; 
SEDE CENTRAL;PS3;2015;932;DENUNCIA;11/06/2015;TIENDAS POR  DEPARTAMENTO, BAZARES Y CONEXOS;VENTA DE OTROS PRODUCTOS;TIENDAS POR DEPARTAMENTO RIPLEY S.A. / ELECTROLUX DEL PERU S.A.;20337564373 / 20100073308; 
SEDE CENTRAL;PS3;2015;933;DENUNCIA;11/06/2015;SERVICIOS PROFESIONALES, TECNICOS Y OTROS;SERVICIOS DE CORRESPONDENCIA;SERVICIOS POSTALES DEL PERU S.A.;20256136865; 
SEDE CENTRAL;PS3;2015;934;DENUNCIA;12/06/2015;SERVICIOS VARIOS;OTROS SERVICIOS;;; 
SEDE CENTRAL;PS3;2015;935;DENUNCIA;11/06/2015;CONSTRUCCION E INMOBILIARIOS;CONSTRUCCION Y VENTA DE INMUEBLES;SK CONSTRUCTORES SOCIEDAD ANONIMA CERRADA-SK CONSTRUCTORES S.A.C.;20519101093; 
SEDE CENTRAL;PS3;2015;936;DENUNCIA;12/06/2015;CONSTRUCCION E INMOBILIARIOS;VENTA DE INMUEBLES POR ENCARGO;AKRA ARQUITECTURA S.A.C.;20523080386; 
SEDE CENTRAL;PS3;2015;937;DENUNCIA;12/06/2015;CONSTRUCCION E INMOBILIARIOS;CONSTRUCCION Y VENTA DE INMUEBLES;PAZ CENTENARIO S.A.;20518023579; 
SEDE CENTRAL;PS3;2015;938;DENUNCIA;12/06/2015;CONSTRUCCION E INMOBILIARIOS;CONSTRUCCION Y VENTA DE INMUEBLES;GMC LOIRA SAC;20548361631; 
SEDE CENTRAL;PS3;2015;939;DENUNCIA;12/06/2015;CONSTRUCCION E INMOBILIARIOS;CONSTRUCCION Y VENTA DE INMUEBLES;GMC LOIRA SAC;20548361631; 
SEDE CENTRAL;PS3;2015;94;DENUNCIA;21/01/2015;EDUCACION INICIAL Y PRIMARIA;SERVICIOS DE ENSEÑANZA;INSTITUCION EDUCATIVA PRIVADA NUESTRA SEñORA DE LA NATIVIDAD  E.I.R.L;20519972124; 
SEDE CENTRAL;PS3;2015;940;DENUNCIA;12/06/2015;COMERCIO MINORISTA DE OTROS PRODUCTOS;VENTA DE OTROS PRODUCTOS;;; 
SEDE CENTRAL;PS3;2015;941;DENUNCIA;15/06/2015;OTRAS ACTIVIDADES MANUFACTURERAS;FABRICACION DE ARTICULOS ARTESANALES;RC PERU IMPACTA S.A.C.;20550796091; 
SEDE CENTRAL;PS3;2015;942;DENUNCIA;15/06/2015;COMERCIO MINORISTA DE LINEA BLANCA, MARRON Y OTRAS;VENTA DE ARTICULOS DE USO DOMESTICO;RASH PERU S.A.C.;20378890161; 
SEDE CENTRAL;PS3;2015;943;DENUNCIA;15/06/2015;EDUCACION INICIAL Y PRIMARIA;SERVICIOS DE ENSEÑANZA;;; 
SEDE CENTRAL;PS3;2015;944;DENUNCIA;15/06/2015;SUPERMERCADOS, BODEGAS, MINIMARKETS Y SIMILARES;VENTA DE OTROS PRODUCTOS;CENCOSUD RETAIL PERU S.A.;20109072177; 
SEDE CENTRAL;PS3;2015;945;DENUNCIA;15/06/2015;SERVICIOS VARIOS;OTROS SERVICIOS;;; 
SEDE CENTRAL;PS3;2015;946;DENUNCIA;15/06/2015;ACTIVIDADES ARTISTICAS, DE ENTRETENIMIENTO Y ESPARCIMIENTO;OBRAS TEATRALES;GRUPO TUTICKET.COM.PE S.A.C.;20392461125; 
SEDE CENTRAL;PS3;2015;947;DENUNCIA;15/06/2015;SERVICIOS VARIOS;SERVICIOS DE SALONES DE BELLEZA Y PELUQUERIAS;TOQUE X EIRL / TOQUE X S.A.C.;20513690500 / 20551612083; 
SEDE CENTRAL;PS3;2015;948;DENUNCIA;16/06/2015;EDUCACION SUPERIOR;SERVICIOS DE ENSEÑANZA;TELESUP EIRL;20462772441; 
SEDE CENTRAL;PS3;2015;949;DENUNCIA;15/06/2015;COMERCIO MINORISTA DE TEXTILES, PRENDAS DE VESTIR Y CALZADO;VENTA DE PRENDAS DE VESTIR;VBM RETAIL SOCIEDAD ANONIMA CERRADA;20557099981; 
SEDE CENTRAL;PS3;2015;95;DENUNCIA;21/01/2015;FABRICACION DE MUEBLES ;FABRICACION MUEBLES;MUEBLES GIORDANO EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA;20535789429; 
SEDE CENTRAL;PS3;2015;950;DENUNCIA;15/06/2015;FABRICACION DE MUEBLES ;FABRICACION MUEBLES;;; 
SEDE CENTRAL;PS3;2015;951;DENUNCIA;15/06/2015;VENTA, MANTENIMIENTO Y REPARACION DE VEHICULOS;VENTA DE REPUESTOS PARA VEHICULOS AUTOMOTORES Y MOTOCICLETAS;LIMAUTOS AUTOMOTRIZ DEL PERU S.A.C.;20537942381; 
